subject_folder	mapping_participant	mapping_file	trial_index	block	trial_in_block	trigger	category	mapped_path	exact_image_path	image_found	is_repeat	expected_presentations_for_trigger
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	51	3	11	1110	jet	images_THINGS/object_images/jet/jet_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/jet/jet_04s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	52	3	12	1144	tarantula	images_THINGS/object_images/tarantula/tarantula_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/tarantula/tarantula_12s.jpg	True	True	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	53	3	13	1006	cardinal	images_THINGS/object_images/cardinal/cardinal_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/cardinal/cardinal_02s.jpg	True	True	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	54	3	14	1097	sandwich	images_THINGS/object_images/sandwich/sandwich_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sandwich/sandwich_06s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	55	3	15	1090	garlic	images_THINGS/object_images/garlic/garlic_11s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/garlic/garlic_11s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	56	3	16	1101	boat	images_THINGS/object_images/boat/boat_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/boat/boat_08s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	57	3	17	1132	polar_bear	images_THINGS/object_images/polar_bear/polar_bear_18s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/polar_bear/polar_bear_18s.jpg	True	True	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	58	3	18	1047	drawer	images_THINGS/object_images/drawer/drawer_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/drawer/drawer_04s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	59	3	19	1026	asparagus	images_THINGS/object_images/asparagus/asparagus_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/asparagus/asparagus_12s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	60	3	20	1046	tiramisu	images_THINGS/object_images/tiramisu/tiramisu_12s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/tiramisu/tiramisu_12s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	61	4	1	1110	jet	images_THINGS/object_images/jet/jet_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/jet/jet_04s.jpg	True	True	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	62	4	2	1149	mole	images_THINGS/object_images/mole/mole_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/mole/mole_09s.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	63	4	3	1023	wolf	images_THINGS/object_images/wolf/wolf_12n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/wolf/wolf_12n.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	64	4	4	1125	sundae	images_THINGS/object_images/sundae/sundae_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sundae/sundae_09s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	65	4	5	1037	steamroller	images_THINGS/object_images/steamroller/steamroller_11n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/steamroller/steamroller_11n.jpg	True	False	1
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	66	4	6	1120	owl	images_THINGS/object_images/owl/owl_19s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/owl/owl_19s.jpg	True	False	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	67	4	7	1015	moose	images_THINGS/object_images/moose/moose_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/moose/moose_02s.jpg	True	True	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	68	4	8	1121	sunglasses	images_THINGS/object_images/sunglasses/sunglasses_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sunglasses/sunglasses_06s.jpg	True	True	2
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	69	4	9	1049	rat	images_THINGS/object_images/rat/rat_04s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/rat/rat_04s.jpg	True	False	1
