subject_folder	csv_path	trial_index_csv	trigger	category	show_image_duration_s	image_stimulus_duration_s	pre_fixation_s	post_image_delay_s	image_onset_interval_s
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	44	1073	bull	3.988191999999799	3.9918795000007776	1.7270144999997683	0.24975410000024567	5.872361700000965
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	45	1020	television	3.984081599999172		1.6411746000007952	0.2497681999998349	6.116650499999196
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	46	1151	tractor	3.9925650000000132		1.889369600000009	0.24950760000001537	6.124111199999788
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	47	1119	star_fruit	3.9863132000000405	3.989433499998995	1.888876099999834	0.24976749999996173	6.182336700000178
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	48	1011	raspberry	3.991792699999678		1.95314610000014	0.24912230000018099	6.167199999999866
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	49	1137	lamb	3.9910743000000366		1.9325739000000794	0.2495969999999943	5.960001599999941
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	50	1104	speaker	3.989685399999871	3.9923610999999255	1.7258286000001135	0.2496141000001444	5.91729979999991
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	51	1110	jet	3.98876700000028		1.684637699999712	0.24954480000087642	5.820936000000074
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	52	1144	tarantula	3.987619500001074	3.9903165000000627	1.589227999999821	0.24924190000001545	5.827077100000224
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	53	1006	cardinal	3.986750999999913	3.9902329999999893	1.5967685999999048	0.24981509999997797	5.828104199999871
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	54	1097	sandwich	3.985229500000969	3.989091500000086	1.5983887000002142	0.2496380999991743	5.9126406999998835
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	55	1090	garlic	3.989207399999941		1.684909300000072	0.2494925000000876	6.156105800000205
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	56	1101	boat	3.9857020999997985		1.92380170000024	0.24964090000003125	5.7692566000000625
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	57	1132	polar_bear	3.9874118999996426	3.9896616000000904	1.5402508000001944	0.24952230000008058	6.168597099999715
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	58	1047	drawer	3.9371100000003025		1.938574399999652	0.24976110000079643	5.795729500000107
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	59	1026	asparagus	3.9262386999998853		1.615747199999987	0.24914460000036343	5.9703865000001315
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	60	1046	tiramisu	3.983284200000071		1.801179599999159	0.25618679999979577	25.1634925999997
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	61	1110	jet	3.9866107000002557	3.9903761999999006	1.6654945999998745	0.2496225999998387	5.842383900000186
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	62	1149	mole	3.991463400000157	3.9957391999996617	1.6128560000001926	0.2496765000000778	6.216363000000001
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	63	1023	wolf	3.990743199999997		1.98177110000006	0.24953420000019833	5.758057500000177
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	64	1125	sundae	3.9896672999998373		1.5248200000000907	0.2493648999998186	5.826372300000003
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	65	1037	steamroller	3.9895521999997072		1.5940604000002168	0.24964570000020103	6.134472199999891
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	66	1120	owl	3.987168600000132	3.9906026999997266	1.9018894000000728	0.24952529999973194	6.050103699999909
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	67	1015	moose	3.9650415000000976		1.8199251000000913	0.24959679999983564	6.310277000000042
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	68	1121	sunglasses	3.849596399999882		2.1021835999999894	0.2491253000002871	5.720871200000147
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	69	1049	rat	3.982537900000807		1.6290689000002203	0.24964729999919655	5.78079150000076
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	70	1032	pants	3.986253499999293		1.5557960000010098	0.24960839999994278	6.047248299998955
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	71	1063	car	3.9874933999999485		1.8180420999997295	0.24972109999998793	6.139688000000206
