row	subject_folder	trigger	category	is_repeat	epoch_valid	artifact_status	usable_after_rejection	peak_abs_uv	rms_uv	mean_uv	std_uv
298	P05	1127	space_shuttle	False	True	pass	True	29.468740	6.387990	-0.000018	6.387990
299	P05	1155	kale	False	True	pass	True	132.793823	14.405701	0.000039	14.405701
300	P05	1152	speedboat	False	True	pass	True	65.724327	7.884692	-0.000034	7.884692
301	P05	1008	keyboard	False	True	pass	True	22.156801	4.962696	-0.000001	4.962696
302	P05	1042	eagle	False	True	pass	True	74.987747	5.279236	0.000016	5.279236
303	P05	1028	meatball	False	True	pass	True	98.975609	10.360437	-0.000018	10.360437
304	P05	1062	antelope	True	True	pass	True	78.403046	8.901695	0.000006	8.901694
305	P05	1085	frog	False	True	pass	True	28.091043	6.847356	0.000001	6.847356
306	P05	1074	cobra	False	True	pass	True	20.474020	5.629457	-0.000001	5.629457
307	P05	1103	blazer	False	True	pass	True	20.515535	5.037646	0.000008	5.037646
308	P05	1017	carrot	False	True	pass	True	21.695864	6.069582	-0.000012	6.069581
309	P05	1126	helicopter	False	True	pass	True	31.667229	6.245842	0.000023	6.245842
310	P05	1106	swordfish	False	True	pass	True	94.971130	9.343625	-0.000019	9.343625
311	P05	1068	radio	False	True	pass	True	75.591232	8.013130	0.000001	8.013131
312	P05	1100	champagne	False	True	pass	True	81.377037	8.164375	0.000013	8.164375
313	P05	1084	cheetah	False	True	pass	True	37.207584	10.609448	-0.000009	10.609448
314	P05	1120	owl	True	True	pass	True	82.553719	8.150163	-0.000006	8.150163
315	P05	1129	workbench	False	True	pass	True	28.464506	7.983423	-0.000002	7.983422
316	P05	1053	reindeer	True	True	pass	True	36.946293	9.298173	-0.000000	9.298173
317	P05	1039	sailboat	False	True	pass	True	80.881454	9.998481	0.000013	9.998481
318	P05	1111	creme_brulee	False	True	pass	True	71.348854	8.000770	-0.000001	8.000770
319	P05	1012	burrito	True	True	pass	True	85.976456	10.540660	-0.000010	10.540660
320	P05	1067	taffy	False	True	pass	True	29.582954	6.451120	-0.000029	6.451120
321	P05	1084	cheetah	True	True	pass	True	88.639206	9.293941	-0.000009	9.293940
322	P05	1082	necklace	True	True	pass	True	87.175819	7.948810	-0.000007	7.948810
323	P05	1051	yacht	False	True	pass	True	24.383636	5.365737	0.000028	5.365737
324	P05	1091	kitten	False	True	pass	True	78.599648	9.361748	0.000026	9.361748
325	P05	1081	police_car	False	True	pass	True	14.873052	4.093684	-0.000003	4.093684
