subject_folder	channel	freq_hz	psd_uV2_per_Hz
P04	C4	43.000000	1.34789718231e-06
P04	C4	44.000000	0.00014949029719
P04	C4	45.000000	0.000272938224953
P04	C4	46.000000	0.000327480724081
P04	C4	47.000000	6.8142406235e-05
P04	C4	48.000000	0.000134544301545
P04	C4	49.000000	0.000256824161625
P04	C4	50.000000	0.000183442345588
P04	C4	51.000000	0.000208786819712
P04	C4	52.000000	8.04660303402e-05
P04	C4	53.000000	7.29274179321e-05
P04	C4	54.000000	0.000108019885374
P04	C4	55.000000	2.87066814053e-05
P04	C4	56.000000	0.000108551415906
P04	C4	57.000000	5.58134015591e-05
P04	C4	58.000000	4.49066756119e-05
P04	C4	59.000000	2.41076941165e-05
P04	C4	60.000000	8.96528854355e-06
P04	C4	61.000000	4.93986844958e-05
P04	C4	62.000000	0.000206765602343
P04	C4	63.000000	0.000157619753736
P04	C4	64.000000	3.39703838108e-05
P04	C4	65.000000	7.05252823536e-05
P04	C4	66.000000	1.22703640955e-05
P04	C4	67.000000	5.25260329596e-05
P04	C4	68.000000	4.93737970828e-05
P04	C4	69.000000	9.76192313829e-06
P04	C4	70.000000	5.19340119354e-06
P04	C4	71.000000	1.30559210447e-05
P04	C4	72.000000	3.62876962754e-05
P04	C4	73.000000	5.54828257009e-05
P04	C4	74.000000	5.04589334014e-05
P04	C4	75.000000	1.8999526219e-05
P04	C4	76.000000	1.8982696929e-05
P04	C4	77.000000	7.80137997936e-06
P04	C4	78.000000	1.13178584797e-05
P04	C4	79.000000	2.11664178096e-06
P04	C4	80.000000	0.000100800258224
P04	P4	1.000000	0.41993200779
P04	P4	2.000000	0.0480543933809
P04	P4	3.000000	0.00361403194256
P04	P4	4.000000	0.00179969123565
P04	P4	5.000000	0.00285501615144
P04	P4	6.000000	0.00249055959284
P04	P4	7.000000	1.92972402147e-05
P04	P4	8.000000	0.00531719438732
P04	P4	9.000000	0.0102578755468
P04	P4	10.000000	0.00458452198654
P04	P4	11.000000	0.000119109441584
P04	P4	12.000000	0.0001482876105
P04	P4	13.000000	0.000304238463286
P04	P4	14.000000	0.000573841389269
P04	P4	15.000000	0.000155761721544
P04	P4	16.000000	0.000378610333428
P04	P4	17.000000	0.000180367889698
P04	P4	18.000000	0.000552683835849
P04	P4	19.000000	0.00114002125338
P04	P4	20.000000	0.00190056406427
P04	P4	21.000000	0.0041822665371
P04	P4	22.000000	0.00205641821958
P04	P4	23.000000	0.000353037525201
P04	P4	24.000000	0.0009945750935
P04	P4	25.000000	0.000406563049182
P04	P4	26.000000	0.000295786914648
P04	P4	27.000000	0.000151163389091
P04	P4	28.000000	0.000792290840764
P04	P4	29.000000	0.000371202215319
P04	P4	30.000000	1.94057574845e-05
P04	P4	31.000000	0.000239048269577
P04	P4	32.000000	0.000718267459888
P04	P4	33.000000	0.000939442950767
P04	P4	34.000000	0.00106804771349
P04	P4	35.000000	0.000822039321065
P04	P4	36.000000	0.000639996898826
P04	P4	37.000000	0.000276682432741
P04	P4	38.000000	4.21508848376e-05
P04	P4	39.000000	3.30179354933e-05
P04	P4	40.000000	7.83157447586e-05
P04	P4	41.000000	0.000109551852802
P04	P4	42.000000	0.00072731776163
P04	P4	43.000000	0.000566942384467
P04	P4	44.000000	0.000217941284063
P04	P4	45.000000	0.000265819922788
P04	P4	46.000000	6.87949068379e-05
P04	P4	47.000000	8.62795641297e-05
P04	P4	48.000000	0.000140693795402
P04	P4	49.000000	2.75221973425e-05
P04	P4	50.000000	9.37705954129e-06
P04	P4	51.000000	3.3790103771e-05
P04	P4	52.000000	6.49351131869e-05
P04	P4	53.000000	0.000243217582465
P04	P4	54.000000	0.000208959972952
P04	P4	55.000000	0.000102862410131
P04	P4	56.000000	2.36046362261e-05
P04	P4	57.000000	3.26466142724e-05
P04	P4	58.000000	1.96246564883e-05
P04	P4	59.000000	3.76460011466e-05
P04	P4	60.000000	3.79792036256e-05
P04	P4	61.000000	6.17237747065e-05
P04	P4	62.000000	5.68315863347e-06
