subject_folder	trigger	category	n_total	n_usable	repeat_corr_flat_31x250	status
P07	1019	videocassette	1	1		insufficient_after_rejection
P07	1020	television	2	2	0.264611	pass
P07	1021	tea	1	1		insufficient_after_rejection
P07	1022	shoe	1	1		insufficient_after_rejection
P07	1023	wolf	2	2	0.212764	pass
P07	1024	lab_coat	1	1		insufficient_after_rejection
P07	1025	llama	1	1		insufficient_after_rejection
P07	1026	asparagus	1	1		insufficient_after_rejection
P07	1027	memory_stick	2	2	-0.096826	pass
P07	1028	meatball	1	1		insufficient_after_rejection
P07	1029	sheep	1	1		insufficient_after_rejection
P07	1030	puffin	1	1		insufficient_after_rejection
P07	1031	fish	1	1		insufficient_after_rejection
P07	1032	pants	1	1		insufficient_after_rejection
P07	1033	helmet	1	1		insufficient_after_rejection
P07	1034	bracelet1	1	1		insufficient_after_rejection
P07	1035	lizard	1	1		insufficient_after_rejection
P07	1036	ladybug	1	1		insufficient_after_rejection
P07	1037	steamroller	1	1		insufficient_after_rejection
P07	1038	cupcake	1	1		insufficient_after_rejection
P07	1039	sailboat	1	1		insufficient_after_rejection
P07	1040	panda	1	1		insufficient_after_rejection
P07	1041	octopus	1	1		insufficient_after_rejection
P07	1042	eagle	1	1		insufficient_after_rejection
P07	1043	ostrich	1	1		insufficient_after_rejection
P07	1044	raccoon	1	1		insufficient_after_rejection
P07	1045	goose	2	2	0.261606	pass
P07	1046	tiramisu	2	2	0.086592	pass
P07	1047	drawer	1	1		insufficient_after_rejection
P07	1048	sombrero	1	1		insufficient_after_rejection
P07	1049	rat	1	1		insufficient_after_rejection
P07	1050	artichoke	1	1		insufficient_after_rejection
P07	1051	yacht	2	2	0.310460	pass
P07	1052	wallpaper	2	2	0.040780	pass
P07	1053	reindeer	2	2	0.493482	pass
P07	1054	bathtub	1	1		insufficient_after_rejection
P07	1055	seagull	1	1		insufficient_after_rejection
P07	1056	leggings	1	1		insufficient_after_rejection
P07	1057	eggnog	1	1		insufficient_after_rejection
P07	1058	loveseat	1	1		insufficient_after_rejection
P07	1059	zucchini	2	2	0.333710	pass
P07	1060	squirrel	2	2	0.182641	pass
P07	1061	taco	2	2	-0.005075	pass
P07	1062	antelope	2	2	0.192842	pass
P07	1063	car	1	1		insufficient_after_rejection
P07	1064	fly	1	1		insufficient_after_rejection
P07	1065	cabinet	1	1		insufficient_after_rejection
P07	1066	giraffe	1	1		insufficient_after_rejection
P07	1067	taffy	1	1		insufficient_after_rejection
P07	1068	radio	1	1		insufficient_after_rejection
P07	1069	rollerblade	1	1		insufficient_after_rejection
P07	1070	dragonfly	1	1		insufficient_after_rejection
P07	1071	mongoose	2	2	0.272131	pass
P07	1072	blackberry	1	1		insufficient_after_rejection
P07	1073	bull	1	1		insufficient_after_rejection
P07	1074	cobra	1	1		insufficient_after_rejection
P07	1075	filing_cabinet	1	1		insufficient_after_rejection
P07	1076	groundhog	1	1		insufficient_after_rejection
P07	1077	bison	1	1		insufficient_after_rejection
