subject_folder	channel	band	bandpower_uV2
P07	P8	delta_1_4	1.14807933569
P07	P8	theta_4_8	0.0854923026636
P07	P8	alpha_8_13	0.0504141384736
P07	P8	beta_13_30	0.0285002974051
P07	P8	low_gamma_30_45	0.00367624570208
P07	T8	delta_1_4	0.0421260059811
P07	T8	theta_4_8	0.0144496394787
P07	T8	alpha_8_13	0.0143544566818
P07	T8	beta_13_30	0.0250994759845
P07	T8	low_gamma_30_45	0.0140153343964
P07	CP6	delta_1_4	0.0691366419196
P07	CP6	theta_4_8	0.0214454677189
P07	CP6	alpha_8_13	0.0303680761717
P07	CP6	beta_13_30	0.0163480037663
P07	CP6	low_gamma_30_45	0.00150248838145
P07	FC6	delta_1_4	0.040622103028
P07	FC6	theta_4_8	0.0132751787314
P07	FC6	alpha_8_13	0.00908923149109
P07	FC6	beta_13_30	0.0221032973714
P07	FC6	low_gamma_30_45	0.0135488909
P07	F8	delta_1_4	0.205690301955
P07	F8	theta_4_8	0.0655275797471
P07	F8	alpha_8_13	0.0204222837929
P07	F8	beta_13_30	0.082602529088
P07	F8	low_gamma_30_45	0.0187914108101
P07	F4	delta_1_4	0.489871315658
P07	F4	theta_4_8	0.0381819261238
P07	F4	alpha_8_13	0.0309113068506
P07	F4	beta_13_30	0.0276661541575
P07	F4	low_gamma_30_45	0.0104436753609
P07	C4	delta_1_4	0.0717355459929
P07	C4	theta_4_8	0.0202209353447
P07	C4	alpha_8_13	0.0254619456828
P07	C4	beta_13_30	0.0131288973935
P07	C4	low_gamma_30_45	0.0037269475979
P07	P4	delta_1_4	0.556667000055
P07	P4	theta_4_8	0.0638965079561
P07	P4	alpha_8_13	0.0371491177939
P07	P4	beta_13_30	0.0167640550353
P07	P4	low_gamma_30_45	0.00388962813304
P07	AF4	delta_1_4	0.389736451209
P07	AF4	theta_4_8	0.0688209980726
P07	AF4	alpha_8_13	0.0471558701247
P07	AF4	beta_13_30	0.0280029937858
P07	AF4	low_gamma_30_45	0.013237339881
P07	Fp2	delta_1_4	0.760211765766
P07	Fp2	theta_4_8	0.0901716202497
P07	Fp2	alpha_8_13	0.106949977577
P07	Fp2	beta_13_30	0.0646239640191
P07	Fp2	low_gamma_30_45	0.0169629640586
P07	Fp1	delta_1_4	1.0727314651
